"","Gene","noIR1","noIR2","IR1","IR2"
"3253","ENSMUSG00000021725",338.216663287044,341.076024459436,406.23963058951,457.259660057487
"3254","ENSMUSG00000021728",0,0,2.47707091822872,0
"3255","ENSMUSG00000021730",0,0,0,0
"3256","ENSMUSG00000021731",590.688257008358,511.614036689154,816.607712709401,803.668493434371
"3257","ENSMUSG00000021732",0,0,0,0
"3258","ENSMUSG00000021733",3514.35694845094,3628.00612004623,3288.72448910166,4169.83859696868
"3259","ENSMUSG00000021737",1445.75714517772,1336.062134029,1481.28840910077,1728.3491393284
"3260","ENSMUSG00000021738",1102.7768669148,1031.91790839638,1477.98564787647,1720.95908421636
"3261","ENSMUSG00000021743",0,0,0,0
"3262","ENSMUSG00000021745",0,0,0,0
"3263","ENSMUSG00000021747",0,0,0,0
"3264","ENSMUSG00000021748",1426.70268527422,1189.42116809899,1700.09634021098,1876.1502415692
"3265","ENSMUSG00000021749",0,0,0,0
"3266","ENSMUSG00000021750",0,0,0,0
"3267","ENSMUSG00000021751",0,2.1724587545187,1.65138061215248,0
"3268","ENSMUSG00000021752",135.763026812405,73.8635976536358,171.743583663858,167.199996909909
"3269","ENSMUSG00000021754",3344.05771306345,3845.2519954981,2956.79698605901,4045.131416953
"3270","ENSMUSG00000021756",0,0,0,0
"3271","ENSMUSG00000021758",0,2.1724587545187,1.65138061215248,0
"3272","ENSMUSG00000021759",0,0,5.77983214253368,6.46629822303517
"3273","ENSMUSG00000021760",0,0,0,0
"3274","ENSMUSG00000021763",0,0,0,0
"3275","ENSMUSG00000021764",889.605096744443,706.049095218578,790.185622914961,722.377887201929
"3276","ENSMUSG00000021765",0,0,0,0
"3277","ENSMUSG00000021767",1246.87621993498,1088.40183601387,1160.92057034319,1291.41213082902
"3278","ENSMUSG00000021768",19.0544599034954,8.6898350180748,12.3853545911436,5.54254133403014
"3279","ENSMUSG00000021770",441.8252890123,424.715686508406,681.194502512898,787.040869432281
"3280","ENSMUSG00000021771",3535.79321584237,2802.47179332912,2783.402021783,3016.98999949041
